Localización;Nacionalidad;Fecha;Ambos;Hombres;Mujeres
España;Sierra Leona;31/12/2021;2;1;1
España;Singapur;31/12/2021;38;20;18
España;Siria;31/12/2021;94;58;36
España;Somalia;31/12/2021;3;3;0
España;Sri Lanka;31/12/2021;27;18;9
España;Suazilandia;31/12/2021;2;0;2
España;Sudáfrica;31/12/2021;111;46;65
España;Sudán;31/12/2021;22;18;4
España;Surinam;31/12/2021;0;0;0
España;Tailandia;31/12/2021;77;31;46
España;Taiwán;31/12/2021;456;212;244
España;Tanzania;31/12/2021;44;33;11
España;Tayikistán;31/12/2021;7;4;3
España;Togo;31/12/2021;11;9;2
España;Trinidad y Tobago;31/12/2021;19;6;13
España;Túnez;31/12/2021;455;284;171
España;Turkmenistán;31/12/2021;4;3;1
España;Turquía;31/12/2021;537;256;281
España;Ucrania;31/12/2021;620;213;407
España;Uganda;31/12/2021;20;15;5
España;Uruguay;31/12/2021;197;90;107
España;Uzbekistán;31/12/2021;30;16;14
España;Vanuatu;31/12/2021;1;0;1
España;Venezuela;31/12/2021;1045;464;581
España;Vietnam;31/12/2021;127;41;86
España;Yemen;31/12/2021;12;12;0
España;Yibuti;31/12/2021;4;3;1
España;Zambia;31/12/2021;15;11;4
España;Zimbabue;31/12/2021;38;20;18
España;Todas las nacionalidades;31/12/2020;3293887;1411416;1882471
España;Afganistán;31/12/2020;7;6;1
España;Albania;31/12/2020;70;33;37
España;Andorra;31/12/2020;29;14;15
España;Angola;31/12/2020;55;28;27
España;Antigua y Barbuda;31/12/2020;1;1;0
España;Arabia Saudí;31/12/2020;66;45;21
España;Argelia;31/12/2020;414;232;182
España;Argentina;31/12/2020;763;351;412
España;Armenia;31/12/2020;30;11;19
España;Australia;31/12/2020;117;58;59
España;Azerbaiyán;31/12/2020;61;40;21
España;Bahamas;31/12/2020;5;2;3
España;Bahrein;31/12/2020;6;5;1
España;Bangladés;31/12/2020;31;19;12
España;Barbados;31/12/2020;5;1;4
España;Belice;31/12/2020;5;2;3
España;Benín;31/12/2020;8;8;0
España;Bielorrusia;31/12/2020;108;43;65
España;Bolivia;31/12/2020;451;185;266
España;Bosnia-Herzegovina;31/12/2020;13;6;7
España;Botsuana;31/12/2020;1;0;1
España;Brasil;31/12/2020;952;389;563
España;Brunei;31/12/2020;2;0;2
España;Burkina Faso;31/12/2020;6;4;2
España;Burundi;31/12/2020;10;9;1
España;Bután;31/12/2020;2;2;0
España;Cabo Verde;31/12/2020;4;2;2
España;Camboya;31/12/2020;1;0;1
España;Camerún;31/12/2020;125;73;52
España;Canadá;31/12/2020;259;108;151
España;Chad;31/12/2020;0;0;0
España;Chile;31/12/2020;1070;510;560
España;China;31/12/2020;4436;1597;2839
España;Colombia;31/12/2020;2803;1204;1599
España;Comores;31/12/2020;1;1;0
España;Congo;31/12/2020;6;2;4
España;Corea del Norte;31/12/2020;2;2;0
España;Corea del Sur;31/12/2020;485;245;240
España;Costa de Marfil;31/12/2020;33;26;7
España;Costa Rica;31/12/2020;227;106;121
España;Cuba;31/12/2020;805;362;443
España;Dominica;31/12/2020;2;2;0
España;Ecuador;31/12/2020;1719;796;923
España;Egipto;31/12/2020;286;176;110
España;El Salvador;31/12/2020;280;139;141
España;Emiratos Árabes Unidos;31/12/2020;9;7;2
España;Eritrea;31/12/2020;1;0;1
España;Estados Unidos;31/12/2020;3597;1201;2396
España;Etiopía;31/12/2020;25;17;8
España;Filipinas;31/12/2020;455;142;313
España;Fiyi;31/12/2020;1;1;0
España;Gabón;31/12/2020;6;5;1
España;Gambia;31/12/2020;7;6;1
España;Georgia;31/12/2020;62;28;34
España;Ghana;31/12/2020;31;16;15
España;Granada;31/12/2020;2;1;1
España;Guatemala;31/12/2020;250;117;133
España;Guinea;31/12/2020;4;2;2
España;Guinea Bissau;31/12/2020;1;1;0
España;Guinea Ecuatorial;31/12/2020;491;219;272
España;Guyana;31/12/2020;0;0;0
España;Haití;31/12/2020;65;45;20
España;Honduras;31/12/2020;348;162;186
España;India;31/12/2020;675;462;213
España;Indonesia;31/12/2020;78;49;29
España;Irak;31/12/2020;79;67;12
España;Irán;31/12/2020;426;195;231
España;Islas Salomón;31/12/2020;0;0;0
España;Israel;31/12/2020;63;37;26
España;Jamaica;31/12/2020;25;6;19
España;Japón;31/12/2020;260;158;102
España;Jordania;31/12/2020;153;85;68
España;Kazajistán;31/12/2020;227;85;142
España;Kenia;31/12/2020;62;30;32
España;Kirguistán;31/12/2020;28;8;20
España;Kuwait;31/12/2020;9;8;1
